1	524.0
10	339.0
100	886.0
101	379.0
104	600.5
105	668.0
106	764.5
11	154.0
112	541.0
114	876.0
119	139.0
12	272.0
13	825.0
139	245.0
14	756.0
15	483.5
16	773.5
17	461.0
18	617.6666666666666
19	607.4
2	332.5
20	287.75
21	393.25
22	463.25
23	727.8333333333334
24	437.7142857142857
25	712.5
26	461.5
27	596.0
28	701.6
29	367.8
30	359.3333333333333
31	730.6666666666666
32	400.625
33	385.6666666666667
34	410.2
35	782.4
36	606.5714285714286
37	683.2222222222222
38	579.8333333333334
39	648.1428571428571
4	380.3333333333333
40	491.77777777777777
41	225.6
42	456.75
43	431.06666666666666
44	527.4285714285714
45	484.77777777777777
46	477.0
47	521.1111111111111
48	694.5714285714286
49	609.25
5	578.0
50	435.8181818181818
51	457.42857142857144
52	415.44444444444446
53	480.25
54	473.625
55	414.8
56	452.3333333333333
57	455.0
58	540.75
59	591.0
6	334.5
60	650.0909090909091
61	664.5
62	639.5454545454545
63	397.6
64	736.0
65	390.44444444444446
66	470.0
67	466.57142857142856
68	329.4
69	470.1
70	683.25
71	539.4
72	476.5
73	424.6666666666667
74	690.75
75	483.0
76	507.57142857142856
77	682.0
78	833.0
79	790.25
8	751.6666666666666
80	644.5
81	216.0
82	507.6666666666667
83	663.0
84	438.0
85	448.0
86	510.0
87	431.5
88	680.4
89	441.3333333333333
9	471.0
90	183.0
91	414.0
92	269.0
93	630.5
94	513.0
95	634.0
96	858.0
97	808.0
98	743.6666666666666
99	936.0
